name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-9313,9313,189.07545,28.98388,189.08767412070156,28.99148872177281,0.2215,828.899,26.265,26.379,29.172,2.722,XMMXCS J123618.1+285901.9,0.7816142,Y,
SDSSXCS-286,286,189.24534,63.18832,189.24419316133014,63.187245413665174,0.3121,1146.131,40.27,39.674,102.563,4.846,XMMXCS J123658.8+631117.9,1.0050751,Y,
SDSSXCS-2347,2347,189.67042,9.47696,189.67289873696805,9.475766975741337,0.2282,836.256,33.969,34.21,44.167,2.987,XMMXCS J123840.9+092837.0,0.84922016,,Y
SDSSXCS-28269,28269,194.08956,25.76806,194.08367178549932,25.765023190909663,0.244,519.094,34.564,75.077,21.559,2.505,XMMXCS J125621.4+254605.0,0.73574567,,Y
SDSSXCS-6307,6307,195.66685,67.47806,195.6680359160256,67.47806154440654,0.1063,615.052,39.046,37.521,23.024,1.685,XMMXCS J130240.0+672841.0,0.74548006,,Y
SDSSXCS-241,241,195.99155,67.51535,196.00366462936557,67.5066435660826,0.2212,882.704,22.414,28.367,90.054,4.222,XMMXCS J130357.9+673055.2,0.9792665,Y,
SDSSXCS-893,893,196.49692,26.51308,196.4954146377779,26.513446185778104,0.3163,1205.632,71.175,84.62,70.269,4.078,XMMXCS J130559.2+263047.0,0.9318635000000001,Y,
SDSSXCS-7432,7432,196.95654,29.43038,196.9652369363385,29.43538642545977,0.2615,738.222,22.264,22.35,40.338,4.01,XMMXCS J130749.5+292549.3,0.833957,,Y
SDSSXCS-11613,11613,197.48658,32.37239,197.48379927420297,32.37046605026906,0.3158,696.976,53.434,50.392,26.395,2.647,XMMXCS J130956.7+322220.6,0.76613516,Y,
SDSSXCS-3,3,197.87444,-1.34015,197.87295717057876,-1.3411162795331073,0.1824,1353.116,23.429,23.43,164.712,4.242,XMMXCS J131129.8-012024.5,1.1049563999999998,Y,
SDSSXCS-5939,5939,197.93809,22.03505,197.94246708753883,22.027009602738165,0.1704,833.62,25.26,33.658,30.392,2.673,XMMXCS J131145.1+220206.1,0.78804713,Y,
SDSSXCS-11881,11881,199.98092,33.31494,199.986822566726,33.330139461104395,0.2405,728.999,88.227,105.773,34.831,4.747,XMMXCS J131955.4+331853.7,0.80983025,Y,
SDSSXCS-11394,11394,200.17352,33.17896,200.18129008694888,33.15414645729579,0.2922,695.178,40.286,40.873,35.716,3.2,XMMXCS J132041.6+331044.2,0.81390333,,Y
SDSSXCS-907,907,200.71132,31.65319,200.70320305085332,31.654949306734448,0.3259,1176.761,35.619,35.656,88.376,5.12,XMMXCS J132250.7+313911.4,0.9755896000000001,Y,
SDSSXCS-14715,14715,201.28678,65.84095,201.28985748743943,65.85217353056332,0.181,452.316,20.39,19.199,23.146,2.174,XMMXCS J132508.8+655027.4,0.7462687,Y,
SDSSXCS-309,309,201.52008,12.38741,201.50228458054488,12.378766184237936,0.206,1018.593,33.329,33.481,79.193,5.24,XMMXCS J132604.8+122314.6,0.9544147,,Y
SDSSXCS-457,457,203.14098,50.41397,203.10213421280997,50.40715638104107,0.2753,1073.42,28.228,28.155,51.856,4.222,XMMXCS J133233.8+502450.2,0.8769191999999999,Y,
SDSSXCS-35,35,203.18417,50.54543,203.16004737928918,50.5599991282856,0.2909,1206.651,25.022,25.013,152.874,5.685,XMMXCS J133244.2+503243.5,1.0885965,Y,
SDSSXCS-6,6,203.83155,41.00139,203.83372267931972,41.0011464409052,0.2317,1197.283,25.583,25.598,189.181,5.613,XMMXCS J133519.5+410004.9,1.1359928,Y,
